+---------+-----------+--------+-----------+--------------------------------------------------+
| Unicode | Shift-JIS |  JIS   | Character | Description                                      |
| 0x868A  | 0x89E1    | 0x3263 | 蚊        | <CJK>                                            |
| 0x4FC4  | 0x89E2    | 0x3264 | 俄        | <CJK>                                            |
| 0x5CE8  | 0x89E3    | 0x3265 | 峨        | <CJK>                                            |
| 0x6211  | 0x89E4    | 0x3266 | 我        | <CJK>                                            |
| 0x7259  | 0x89E5    | 0x3267 | 牙        | <CJK>                                            |
| 0x753B  | 0x89E6    | 0x3268 | 画        | <CJK>                                            |
| 0x81E5  | 0x89E7    | 0x3269 | 臥        | <CJK>                                            |
| 0x82BD  | 0x89E8    | 0x326A | 芽        | <CJK>                                            |
| 0x86FE  | 0x89E9    | 0x326B | 蛾        | <CJK>                                            |
| 0x8CC0  | 0x89EA    | 0x326C | 賀        | <CJK>                                            |
| 0x96C5  | 0x89EB    | 0x326D | 雅        | <CJK>                                            |
| 0x9913  | 0x89EC    | 0x326E | 餓        | <CJK>                                            |
| 0x99D5  | 0x89ED    | 0x326F | 駕        | <CJK>                                            |
| 0x4ECB  | 0x89EE    | 0x3270 | 介        | <CJK>                                            |
| 0x4F1A  | 0x89EF    | 0x3271 | 会        | <CJK>                                            |
| 0x89E3  | 0x89F0    | 0x3272 | 解        | <CJK>                                            |
| 0x56DE  | 0x89F1    | 0x3273 | 回        | <CJK>                                            |
| 0x584A  | 0x89F2    | 0x3274 | 塊        | <CJK>                                            |
| 0x58CA  | 0x89F3    | 0x3275 | 壊        | <CJK>                                            |
| 0x5EFB  | 0x89F4    | 0x3276 | 廻        | <CJK>                                            |
| 0x5FEB  | 0x89F5    | 0x3277 | 快        | <CJK>                                            |
| 0x602A  | 0x89F6    | 0x3278 | 怪        | <CJK>                                            |
| 0x6094  | 0x89F7    | 0x3279 | 悔        | <CJK>                                            |
| 0x6062  | 0x89F8    | 0x327A | 恢        | <CJK>                                            |
| 0x61D0  | 0x89F9    | 0x327B | 懐        | <CJK>                                            |
| 0x6212  | 0x89FA    | 0x327C | 戒        | <CJK>                                            |
| 0x62D0  | 0x89FB    | 0x327D | 拐        | <CJK>                                            |
| 0x6539  | 0x89FC    | 0x327E | 改        | <CJK>                                            |
| 0x9B41  | 0x8A40    | 0x3321 | 魁        | <CJK>                                            |
| 0x6666  | 0x8A41    | 0x3322 | 晦        | <CJK>                                            |
| 0x68B0  | 0x8A42    | 0x3323 | 械        | <CJK>                                            |
| 0x6D77  | 0x8A43    | 0x3324 | 海        | <CJK>                                            |
| 0x7070  | 0x8A44    | 0x3325 | 灰        | <CJK>                                            |
| 0x754C  | 0x8A45    | 0x3326 | 界        | <CJK>                                            |
| 0x7686  | 0x8A46    | 0x3327 | 皆        | <CJK>                                            |
| 0x7D75  | 0x8A47    | 0x3328 | 絵        | <CJK>                                            |
| 0x82A5  | 0x8A48    | 0x3329 | 芥        | <CJK>                                            |
| 0x87F9  | 0x8A49    | 0x332A | 蟹        | <CJK>                                            |
| 0x958B  | 0x8A4A    | 0x332B | 開        | <CJK>                                            |
| 0x968E  | 0x8A4B    | 0x332C | 階        | <CJK>                                            |
| 0x8C9D  | 0x8A4C    | 0x332D | 貝        | <CJK>                                            |
| 0x51F1  | 0x8A4D    | 0x332E | 凱        | <CJK>                                            |
| 0x52BE  | 0x8A4E    | 0x332F | 劾        | <CJK>                                            |
| 0x5916  | 0x8A4F    | 0x3330 | 外        | <CJK>                                            |
| 0x54B3  | 0x8A50    | 0x3331 | 咳        | <CJK>                                            |
| 0x5BB3  | 0x8A51    | 0x3332 | 害        | <CJK>                                            |
| 0x5D16  | 0x8A52    | 0x3333 | 崖        | <CJK>                                            |
| 0x6168  | 0x8A53    | 0x3334 | 慨        | <CJK>                                            |
| 0x6982  | 0x8A54    | 0x3335 | 概        | <CJK>                                            |
| 0x6DAF  | 0x8A55    | 0x3336 | 涯        | <CJK>                                            |
| 0x788D  | 0x8A56    | 0x3337 | 碍        | <CJK>                                            |
| 0x84CB  | 0x8A57    | 0x3338 | 蓋        | <CJK>                                            |
| 0x8857  | 0x8A58    | 0x3339 | 街        | <CJK>                                            |
| 0x8A72  | 0x8A59    | 0x333A | 該        | <CJK>                                            |
| 0x93A7  | 0x8A5A    | 0x333B | 鎧        | <CJK>                                            |
| 0x9AB8  | 0x8A5B    | 0x333C | 骸        | <CJK>                                            |
| 0x6D6C  | 0x8A5C    | 0x333D | 浬        | <CJK>                                            |
| 0x99A8  | 0x8A5D    | 0x333E | 馨        | <CJK>                                            |
| 0x86D9  | 0x8A5E    | 0x333F | 蛙        | <CJK>                                            |
| 0x57A3  | 0x8A5F    | 0x3340 | 垣        | <CJK>                                            |
| 0x67FF  | 0x8A60    | 0x3341 | 柿        | <CJK>                                            |
| 0x86CE  | 0x8A61    | 0x3342 | 蛎        | <CJK>                                            |
| 0x920E  | 0x8A62    | 0x3343 | 鈎        | <CJK>                                            |
| 0x5283  | 0x8A63    | 0x3344 | 劃        | <CJK>                                            |
| 0x5687  | 0x8A64    | 0x3345 | 嚇        | <CJK>                                            |
| 0x5404  | 0x8A65    | 0x3346 | 各        | <CJK>                                            |
| 0x5ED3  | 0x8A66    | 0x3347 | 廓        | <CJK>                                            |
| 0x62E1  | 0x8A67    | 0x3348 | 拡        | <CJK>                                            |
| 0x64B9  | 0x8A68    | 0x3349 | 撹        | <CJK>                                            |
| 0x683C  | 0x8A69    | 0x334A | 格        | <CJK>                                            |
| 0x6838  | 0x8A6A    | 0x334B | 核        | <CJK>                                            |
| 0x6BBB  | 0x8A6B    | 0x334C | 殻        | <CJK>                                            |
| 0x7372  | 0x8A6C    | 0x334D | 獲        | <CJK>                                            |
| 0x78BA  | 0x8A6D    | 0x334E | 確        | <CJK>                                            |
| 0x7A6B  | 0x8A6E    | 0x334F | 穫        | <CJK>                                            |
| 0x899A  | 0x8A6F    | 0x3350 | 覚        | <CJK>                                            |
| 0x89D2  | 0x8A70    | 0x3351 | 角        | <CJK>                                            |
| 0x8D6B  | 0x8A71    | 0x3352 | 赫        | <CJK>                                            |
| 0x8F03  | 0x8A72    | 0x3353 | 較        | <CJK>                                            |
| 0x90ED  | 0x8A73    | 0x3354 | 郭        | <CJK>                                            |
| 0x95A3  | 0x8A74    | 0x3355 | 閣        | <CJK>                                            |
| 0x9694  | 0x8A75    | 0x3356 | 隔        | <CJK>                                            |
| 0x9769  | 0x8A76    | 0x3357 | 革        | <CJK>                                            |
| 0x5B66  | 0x8A77    | 0x3358 | 学        | <CJK>                                            |
| 0x5CB3  | 0x8A78    | 0x3359 | 岳        | <CJK>                                            |
| 0x697D  | 0x8A79    | 0x335A | 楽        | <CJK>                                            |
| 0x984D  | 0x8A7A    | 0x335B | 額        | <CJK>                                            |
| 0x984E  | 0x8A7B    | 0x335C | 顎        | <CJK>                                            |
| 0x639B  | 0x8A7C    | 0x335D | 掛        | <CJK>                                            |
| 0x7B20  | 0x8A7D    | 0x335E | 笠        | <CJK>                                            |
| 0x6A2B  | 0x8A7E    | 0x335F | 樫        | <CJK>                                            |
| 0x6A7F  | 0x8A80    | 0x3360 | 橿        | <CJK>                                            |
| 0x68B6  | 0x8A81    | 0x3361 | 梶        | <CJK>                                            |
| 0x9C0D  | 0x8A82    | 0x3362 | 鰍        | <CJK>                                            |
| 0x6F5F  | 0x8A83    | 0x3363 | 潟        | <CJK>                                            |
| 0x5272  | 0x8A84    | 0x3364 | 割        | <CJK>                                            |
| 0x559D  | 0x8A85    | 0x3365 | 喝        | <CJK>                                            |
| 0x6070  | 0x8A86    | 0x3366 | 恰        | <CJK>                                            |
| 0x62EC  | 0x8A87    | 0x3367 | 括        | <CJK>                                            |
| 0x6D3B  | 0x8A88    | 0x3368 | 活        | <CJK>                                            |
| 0x6E07  | 0x8A89    | 0x3369 | 渇        | <CJK>                                            |
| 0x6ED1  | 0x8A8A    | 0x336A | 滑        | <CJK>                                            |
| 0x845B  | 0x8A8B    | 0x336B | 葛        | <CJK>                                            |
| 0x8910  | 0x8A8C    | 0x336C | 褐        | <CJK>                                            |
| 0x8F44  | 0x8A8D    | 0x336D | 轄        | <CJK>                                            |
| 0x4E14  | 0x8A8E    | 0x336E | 且        | <CJK>                                            |
| 0x9C39  | 0x8A8F    | 0x336F | 鰹        | <CJK>                                            |
| 0x53F6  | 0x8A90    | 0x3370 | 叶        | <CJK>                                            |
| 0x691B  | 0x8A91    | 0x3371 | 椛        | <CJK>                                            |
| 0x6A3A  | 0x8A92    | 0x3372 | 樺        | <CJK>                                            |
| 0x9784  | 0x8A93    | 0x3373 | 鞄        | <CJK>                                            |
| 0x682A  | 0x8A94    | 0x3374 | 株        | <CJK>                                            |
| 0x515C  | 0x8A95    | 0x3375 | 兜        | <CJK>                                            |
| 0x7AC3  | 0x8A96    | 0x3376 | 竃        | <CJK>                                            |
| 0x84B2  | 0x8A97    | 0x3377 | 蒲        | <CJK>                                            |
| 0x91DC  | 0x8A98    | 0x3378 | 釜        | <CJK>                                            |
| 0x938C  | 0x8A99    | 0x3379 | 鎌        | <CJK>                                            |
| 0x565B  | 0x8A9A    | 0x337A | 噛        | <CJK>                                            |
| 0x9D28  | 0x8A9B    | 0x337B | 鴨        | <CJK>                                            |
| 0x6822  | 0x8A9C    | 0x337C | 栢        | <CJK>                                            |
| 0x8305  | 0x8A9D    | 0x337D | 茅        | <CJK>                                            |
| 0x8431  | 0x8A9E    | 0x337E | 萱        | <CJK>                                            |
| 0x7CA5  | 0x8A9F    | 0x3421 | 粥        | <CJK>                                            |
| 0x5208  | 0x8AA0    | 0x3422 | 刈        | <CJK>                                            |
| 0x82C5  | 0x8AA1    | 0x3423 | 苅        | <CJK>                                            |
| 0x74E6  | 0x8AA2    | 0x3424 | 瓦        | <CJK>                                            |
| 0x4E7E  | 0x8AA3    | 0x3425 | 乾        | <CJK>                                            |
| 0x4F83  | 0x8AA4    | 0x3426 | 侃        | <CJK>                                            |
| 0x51A0  | 0x8AA5    | 0x3427 | 冠        | <CJK>                                            |
| 0x5BD2  | 0x8AA6    | 0x3428 | 寒        | <CJK>                                            |
| 0x520A  | 0x8AA7    | 0x3429 | 刊        | <CJK>                                            |
| 0x52D8  | 0x8AA8    | 0x342A | 勘        | <CJK>                                            |
| 0x52E7  | 0x8AA9    | 0x342B | 勧        | <CJK>                                            |
| 0x5DFB  | 0x8AAA    | 0x342C | 巻        | <CJK>                                            |
| 0x559A  | 0x8AAB    | 0x342D | 喚        | <CJK>                                            |
| 0x582A  | 0x8AAC    | 0x342E | 堪        | <CJK>                                            |
| 0x59E6  | 0x8AAD    | 0x342F | 姦        | <CJK>                                            |
| 0x5B8C  | 0x8AAE    | 0x3430 | 完        | <CJK>                                            |
| 0x5B98  | 0x8AAF    | 0x3431 | 官        | <CJK>                                            |
| 0x5BDB  | 0x8AB0    | 0x3432 | 寛        | <CJK>                                            |
| 0x5E72  | 0x8AB1    | 0x3433 | 干        | <CJK>                                            |
| 0x5E79  | 0x8AB2    | 0x3434 | 幹        | <CJK>                                            |
| 0x60A3  | 0x8AB3    | 0x3435 | 患        | <CJK>                                            |
| 0x611F  | 0x8AB4    | 0x3436 | 感        | <CJK>                                            |
| 0x6163  | 0x8AB5    | 0x3437 | 慣        | <CJK>                                            |
| 0x61BE  | 0x8AB6    | 0x3438 | 憾        | <CJK>                                            |
| 0x63DB  | 0x8AB7    | 0x3439 | 換        | <CJK>                                            |
| 0x6562  | 0x8AB8    | 0x343A | 敢        | <CJK>                                            |
| 0x67D1  | 0x8AB9    | 0x343B | 柑        | <CJK>                                            |
| 0x6853  | 0x8ABA    | 0x343C | 桓        | <CJK>                                            |
| 0x68FA  | 0x8ABB    | 0x343D | 棺        | <CJK>                                            |
| 0x6B3E  | 0x8ABC    | 0x343E | 款        | <CJK>                                            |
| 0x6B53  | 0x8ABD    | 0x343F | 歓        | <CJK>                                            |
| 0x6C57  | 0x8ABE    | 0x3440 | 汗        | <CJK>                                            |
| 0x6F22  | 0x8ABF    | 0x3441 | 漢        | <CJK>                                            |
| 0x6F97  | 0x8AC0    | 0x3442 | 澗        | <CJK>                                            |
| 0x6F45  | 0x8AC1    | 0x3443 | 潅        | <CJK>                                            |
| 0x74B0  | 0x8AC2    | 0x3444 | 環        | <CJK>                                            |
| 0x7518  | 0x8AC3    | 0x3445 | 甘        | <CJK>                                            |
| 0x76E3  | 0x8AC4    | 0x3446 | 監        | <CJK>                                            |
| 0x770B  | 0x8AC5    | 0x3447 | 看        | <CJK>                                            |
| 0x7AFF  | 0x8AC6    | 0x3448 | 竿        | <CJK>                                            |
| 0x7BA1  | 0x8AC7    | 0x3449 | 管        | <CJK>                                            |
| 0x7C21  | 0x8AC8    | 0x344A | 簡        | <CJK>                                            |
| 0x7DE9  | 0x8AC9    | 0x344B | 緩        | <CJK>                                            |
| 0x7F36  | 0x8ACA    | 0x344C | 缶        | <CJK>                                            |
| 0x7FF0  | 0x8ACB    | 0x344D | 翰        | <CJK>                                            |
| 0x809D  | 0x8ACC    | 0x344E | 肝        | <CJK>                                            |
| 0x8266  | 0x8ACD    | 0x344F | 艦        | <CJK>                                            |
| 0x839E  | 0x8ACE    | 0x3450 | 莞        | <CJK>                                            |
| 0x89B3  | 0x8ACF    | 0x3451 | 観        | <CJK>                                            |
| 0x8ACC  | 0x8AD0    | 0x3452 | 諌        | <CJK>                                            |
| 0x8CAB  | 0x8AD1    | 0x3453 | 貫        | <CJK>                                            |
| 0x9084  | 0x8AD2    | 0x3454 | 還        | <CJK>                                            |
| 0x9451  | 0x8AD3    | 0x3455 | 鑑        | <CJK>                                            |
| 0x9593  | 0x8AD4    | 0x3456 | 間        | <CJK>                                            |
| 0x9591  | 0x8AD5    | 0x3457 | 閑        | <CJK>                                            |
| 0x95A2  | 0x8AD6    | 0x3458 | 関        | <CJK>                                            |
| 0x9665  | 0x8AD7    | 0x3459 | 陥        | <CJK>                                            |
| 0x97D3  | 0x8AD8    | 0x345A | 韓        | <CJK>                                            |
| 0x9928  | 0x8AD9    | 0x345B | 館        | <CJK>                                            |
| 0x8218  | 0x8ADA    | 0x345C | 舘        | <CJK>                                            |
| 0x4E38  | 0x8ADB    | 0x345D | 丸        | <CJK>                                            |
| 0x542B  | 0x8ADC    | 0x345E | 含        | <CJK>                                            |
| 0x5CB8  | 0x8ADD    | 0x345F | 岸        | <CJK>                                            |
| 0x5DCC  | 0x8ADE    | 0x3460 | 巌        | <CJK>                                            |
| 0x73A9  | 0x8ADF    | 0x3461 | 玩        | <CJK>                                            |
| 0x764C  | 0x8AE0    | 0x3462 | 癌        | <CJK>                                            |
| 0x773C  | 0x8AE1    | 0x3463 | 眼        | <CJK>                                            |
| 0x5CA9  | 0x8AE2    | 0x3464 | 岩        | <CJK>                                            |
| 0x7FEB  | 0x8AE3    | 0x3465 | 翫        | <CJK>                                            |
| 0x8D0B  | 0x8AE4    | 0x3466 | 贋        | <CJK>                                            |
| 0x96C1  | 0x8AE5    | 0x3467 | 雁        | <CJK>                                            |
| 0x9811  | 0x8AE6    | 0x3468 | 頑        | <CJK>                                            |
| 0x9854  | 0x8AE7    | 0x3469 | 顔        | <CJK>                                            |
| 0x9858  | 0x8AE8    | 0x346A | 願        | <CJK>                                            |
| 0x4F01  | 0x8AE9    | 0x346B | 企        | <CJK>                                            |
| 0x4F0E  | 0x8AEA    | 0x346C | 伎        | <CJK>                                            |
| 0x5371  | 0x8AEB    | 0x346D | 危        | <CJK>                                            |
| 0x559C  | 0x8AEC    | 0x346E | 喜        | <CJK>                                            |
| 0x5668  | 0x8AED    | 0x346F | 器        | <CJK>                                            |
| 0x57FA  | 0x8AEE    | 0x3470 | 基        | <CJK>                                            |
| 0x5947  | 0x8AEF    | 0x3471 | 奇        | <CJK>                                            |
| 0x5B09  | 0x8AF0    | 0x3472 | 嬉        | <CJK>                                            |
| 0x5BC4  | 0x8AF1    | 0x3473 | 寄        | <CJK>                                            |
| 0x5C90  | 0x8AF2    | 0x3474 | 岐        | <CJK>                                            |
| 0x5E0C  | 0x8AF3    | 0x3475 | 希        | <CJK>                                            |
| 0x5E7E  | 0x8AF4    | 0x3476 | 幾        | <CJK>                                            |
| 0x5FCC  | 0x8AF5    | 0x3477 | 忌        | <CJK>                                            |
| 0x63EE  | 0x8AF6    | 0x3478 | 揮        | <CJK>                                            |
| 0x673A  | 0x8AF7    | 0x3479 | 机        | <CJK>                                            |
| 0x65D7  | 0x8AF8    | 0x347A | 旗        | <CJK>                                            |
| 0x65E2  | 0x8AF9    | 0x347B | 既        | <CJK>                                            |
| 0x671F  | 0x8AFA    | 0x347C | 期        | <CJK>                                            |
| 0x68CB  | 0x8AFB    | 0x347D | 棋        | <CJK>                                            |
| 0x68C4  | 0x8AFC    | 0x347E | 棄        | <CJK>                                            |
| 0x6A5F  | 0x8B40    | 0x3521 | 機        | <CJK>                                            |
| 0x5E30  | 0x8B41    | 0x3522 | 帰        | <CJK>                                            |
| 0x6BC5  | 0x8B42    | 0x3523 | 毅        | <CJK>                                            |
| 0x6C17  | 0x8B43    | 0x3524 | 気        | <CJK>                                            |
| 0x6C7D  | 0x8B44    | 0x3525 | 汽        | <CJK>                                            |
| 0x757F  | 0x8B45    | 0x3526 | 畿        | <CJK>                                            |
| 0x7948  | 0x8B46    | 0x3527 | 祈        | <CJK>                                            |
| 0x5B63  | 0x8B47    | 0x3528 | 季        | <CJK>                                            |
| 0x7A00  | 0x8B48    | 0x3529 | 稀        | <CJK>                                            |
| 0x7D00  | 0x8B49    | 0x352A | 紀        | <CJK>                                            |
| 0x5FBD  | 0x8B4A    | 0x352B | 徽        | <CJK>                                            |
| 0x898F  | 0x8B4B    | 0x352C | 規        | <CJK>                                            |
| 0x8A18  | 0x8B4C    | 0x352D | 記        | <CJK>                                            |
| 0x8CB4  | 0x8B4D    | 0x352E | 貴        | <CJK>                                            |
| 0x8D77  | 0x8B4E    | 0x352F | 起        | <CJK>                                            |
| 0x8ECC  | 0x8B4F    | 0x3530 | 軌        | <CJK>                                            |
| 0x8F1D  | 0x8B50    | 0x3531 | 輝        | <CJK>                                            |
| 0x98E2  | 0x8B51    | 0x3532 | 飢        | <CJK>                                            |
| 0x9A0E  | 0x8B52    | 0x3533 | 騎        | <CJK>                                            |
| 0x9B3C  | 0x8B53    | 0x3534 | 鬼        | <CJK>                                            |
| 0x4E80  | 0x8B54    | 0x3535 | 亀        | <CJK>                                            |
| 0x507D  | 0x8B55    | 0x3536 | 偽        | <CJK>                                            |
| 0x5100  | 0x8B56    | 0x3537 | 儀        | <CJK>                                            |
| 0x5993  | 0x8B57    | 0x3538 | 妓        | <CJK>                                            |
| 0x5B9C  | 0x8B58    | 0x3539 | 宜        | <CJK>                                            |
| 0x622F  | 0x8B59    | 0x353A | 戯        | <CJK>                                            |
| 0x6280  | 0x8B5A    | 0x353B | 技        | <CJK>                                            |
| 0x64EC  | 0x8B5B    | 0x353C | 擬        | <CJK>                                            |
| 0x6B3A  | 0x8B5C    | 0x353D | 欺        | <CJK>                                            |
| 0x72A0  | 0x8B5D    | 0x353E | 犠        | <CJK>                                            |
| 0x7591  | 0x8B5E    | 0x353F | 疑        | <CJK>                                            |
| 0x7947  | 0x8B5F    | 0x3540 | 祇        | <CJK>                                            |
| 0x7FA9  | 0x8B60    | 0x3541 | 義        | <CJK>                                            |
| 0x87FB  | 0x8B61    | 0x3542 | 蟻        | <CJK>                                            |
| 0x8ABC  | 0x8B62    | 0x3543 | 誼        | <CJK>                                            |
| 0x8B70  | 0x8B63    | 0x3544 | 議        | <CJK>                                            |
| 0x63AC  | 0x8B64    | 0x3545 | 掬        | <CJK>                                            |
| 0x83CA  | 0x8B65    | 0x3546 | 菊        | <CJK>                                            |
| 0x97A0  | 0x8B66    | 0x3547 | 鞠        | <CJK>                                            |
| 0x5409  | 0x8B67    | 0x3548 | 吉        | <CJK>                                            |
| 0x5403  | 0x8B68    | 0x3549 | 吃        | <CJK>                                            |
| 0x55AB  | 0x8B69    | 0x354A | 喫        | <CJK>                                            |
| 0x6854  | 0x8B6A    | 0x354B | 桔        | <CJK>                                            |
| 0x6A58  | 0x8B6B    | 0x354C | 橘        | <CJK>                                            |
| 0x8A70  | 0x8B6C    | 0x354D | 詰        | <CJK>                                            |
| 0x7827  | 0x8B6D    | 0x354E | 砧        | <CJK>                                            |
| 0x6775  | 0x8B6E    | 0x354F | 杵        | <CJK>                                            |
| 0x9ECD  | 0x8B6F    | 0x3550 | 黍        | <CJK>                                            |
| 0x5374  | 0x8B70    | 0x3551 | 却        | <CJK>                                            |
| 0x5BA2  | 0x8B71    | 0x3552 | 客        | <CJK>                                            |
| 0x811A  | 0x8B72    | 0x3553 | 脚        | <CJK>                                            |
| 0x8650  | 0x8B73    | 0x3554 | 虐        | <CJK>                                            |
| 0x9006  | 0x8B74    | 0x3555 | 逆        | <CJK>                                            |
| 0x4E18  | 0x8B75    | 0x3556 | 丘        | <CJK>                                            |
| 0x4E45  | 0x8B76    | 0x3557 | 久        | <CJK>                                            |
| 0x4EC7  | 0x8B77    | 0x3558 | 仇        | <CJK>                                            |
| 0x4F11  | 0x8B78    | 0x3559 | 休        | <CJK>                                            |
| 0x53CA  | 0x8B79    | 0x355A | 及        | <CJK>                                            |
| 0x5438  | 0x8B7A    | 0x355B | 吸        | <CJK>                                            |
| 0x5BAE  | 0x8B7B    | 0x355C | 宮        | <CJK>                                            |
| 0x5F13  | 0x8B7C    | 0x355D | 弓        | <CJK>                                            |
| 0x6025  | 0x8B7D    | 0x355E | 急        | <CJK>                                            |
| 0x6551  | 0x8B7E    | 0x355F | 救        | <CJK>                                            |
| 0x673D  | 0x8B80    | 0x3560 | 朽        | <CJK>                                            |
| 0x6C42  | 0x8B81    | 0x3561 | 求        | <CJK>                                            |
| 0x6C72  | 0x8B82    | 0x3562 | 汲        | <CJK>                                            |
| 0x6CE3  | 0x8B83    | 0x3563 | 泣        | <CJK>                                            |
| 0x7078  | 0x8B84    | 0x3564 | 灸        | <CJK>                                            |
| 0x7403  | 0x8B85    | 0x3565 | 球        | <CJK>                                            |
| 0x7A76  | 0x8B86    | 0x3566 | 究        | <CJK>                                            |
| 0x7AAE  | 0x8B87    | 0x3567 | 窮        | <CJK>                                            |
| 0x7B08  | 0x8B88    | 0x3568 | 笈        | <CJK>                                            |
| 0x7D1A  | 0x8B89    | 0x3569 | 級        | <CJK>                                            |
| 0x7CFE  | 0x8B8A    | 0x356A | 糾        | <CJK>                                            |
| 0x7D66  | 0x8B8B    | 0x356B | 給        | <CJK>                                            |
| 0x65E7  | 0x8B8C    | 0x356C | 旧        | <CJK>                                            |
| 0x725B  | 0x8B8D    | 0x356D | 牛        | <CJK>                                            |
| 0x53BB  | 0x8B8E    | 0x356E | 去        | <CJK>                                            |
| 0x5C45  | 0x8B8F    | 0x356F | 居        | <CJK>                                            |
| 0x5DE8  | 0x8B90    | 0x3570 | 巨        | <CJK>                                            |
| 0x62D2  | 0x8B91    | 0x3571 | 拒        | <CJK>                                            |
| 0x62E0  | 0x8B92    | 0x3572 | 拠        | <CJK>                                            |
| 0x6319  | 0x8B93    | 0x3573 | 挙        | <CJK>                                            |
| 0x6E20  | 0x8B94    | 0x3574 | 渠        | <CJK>                                            |
| 0x865A  | 0x8B95    | 0x3575 | 虚        | <CJK>                                            |
| 0x8A31  | 0x8B96    | 0x3576 | 許        | <CJK>                                            |
| 0x8DDD  | 0x8B97    | 0x3577 | 距        | <CJK>                                            |
| 0x92F8  | 0x8B98    | 0x3578 | 鋸        | <CJK>                                            |
| 0x6F01  | 0x8B99    | 0x3579 | 漁        | <CJK>                                            |
| 0x79A6  | 0x8B9A    | 0x357A | 禦        | <CJK>                                            |
| 0x9B5A  | 0x8B9B    | 0x357B | 魚        | <CJK>                                            |
| 0x4EA8  | 0x8B9C    | 0x357C | 亨        | <CJK>                                            |
| 0x4EAB  | 0x8B9D    | 0x357D | 享        | <CJK>                                            |
| 0x4EAC  | 0x8B9E    | 0x357E | 京        | <CJK>                                            |
| 0x4F9B  | 0x8B9F    | 0x3621 | 供        | <CJK>                                            |
| 0x4FA0  | 0x8BA0    | 0x3622 | 侠        | <CJK>                                            |
| 0x50D1  | 0x8BA1    | 0x3623 | 僑        | <CJK>                                            |
| 0x5147  | 0x8BA2    | 0x3624 | 兇        | <CJK>                                            |
| 0x7AF6  | 0x8BA3    | 0x3625 | 競        | <CJK>                                            |
| 0x5171  | 0x8BA4    | 0x3626 | 共        | <CJK>                                            |
| 0x51F6  | 0x8BA5    | 0x3627 | 凶        | <CJK>                                            |
| 0x5354  | 0x8BA6    | 0x3628 | 協        | <CJK>                                            |
| 0x5321  | 0x8BA7    | 0x3629 | 匡        | <CJK>                                            |
| 0x537F  | 0x8BA8    | 0x362A | 卿        | <CJK>                                            |
| 0x53EB  | 0x8BA9    | 0x362B | 叫        | <CJK>                                            |
| 0x55AC  | 0x8BAA    | 0x362C | 喬        | <CJK>                                            |
| 0x5883  | 0x8BAB    | 0x362D | 境        | <CJK>                                            |
| 0x5CE1  | 0x8BAC    | 0x362E | 峡        | <CJK>                                            |
| 0x5F37  | 0x8BAD    | 0x362F | 強        | <CJK>                                            |
| 0x5F4A  | 0x8BAE    | 0x3630 | 彊        | <CJK>                                            |
| 0x602F  | 0x8BAF    | 0x3631 | 怯        | <CJK>                                            |
| 0x6050  | 0x8BB0    | 0x3632 | 恐        | <CJK>                                            |
| 0x606D  | 0x8BB1    | 0x3633 | 恭        | <CJK>                                            |
| 0x631F  | 0x8BB2    | 0x3634 | 挟        | <CJK>                                            |
| 0x6559  | 0x8BB3    | 0x3635 | 教        | <CJK>                                            |
| 0x6A4B  | 0x8BB4    | 0x3636 | 橋        | <CJK>                                            |
| 0x6CC1  | 0x8BB5    | 0x3637 | 況        | <CJK>                                            |
| 0x72C2  | 0x8BB6    | 0x3638 | 狂        | <CJK>                                            |
| 0x72ED  | 0x8BB7    | 0x3639 | 狭        | <CJK>                                            |
| 0x77EF  | 0x8BB8    | 0x363A | 矯        | <CJK>                                            |
| 0x80F8  | 0x8BB9    | 0x363B | 胸        | <CJK>                                            |
| 0x8105  | 0x8BBA    | 0x363C | 脅        | <CJK>                                            |
| 0x8208  | 0x8BBB    | 0x363D | 興        | <CJK>                                            |
| 0x854E  | 0x8BBC    | 0x363E | 蕎        | <CJK>                                            |
| 0x90F7  | 0x8BBD    | 0x363F | 郷        | <CJK>                                            |
| 0x93E1  | 0x8BBE    | 0x3640 | 鏡        | <CJK>                                            |
| 0x97FF  | 0x8BBF    | 0x3641 | 響        | <CJK>                                            |
| 0x9957  | 0x8BC0    | 0x3642 | 饗        | <CJK>                                            |
| 0x9A5A  | 0x8BC1    | 0x3643 | 驚        | <CJK>                                            |
| 0x4EF0  | 0x8BC2    | 0x3644 | 仰        | <CJK>                                            |
| 0x51DD  | 0x8BC3    | 0x3645 | 凝        | <CJK>                                            |
| 0x5C2D  | 0x8BC4    | 0x3646 | 尭        | <CJK>                                            |
| 0x6681  | 0x8BC5    | 0x3647 | 暁        | <CJK>                                            |
| 0x696D  | 0x8BC6    | 0x3648 | 業        | <CJK>                                            |
| 0x5C40  | 0x8BC7    | 0x3649 | 局        | <CJK>                                            |
| 0x66F2  | 0x8BC8    | 0x364A | 曲        | <CJK>                                            |
| 0x6975  | 0x8BC9    | 0x364B | 極        | <CJK>                                            |
| 0x7389  | 0x8BCA    | 0x364C | 玉        | <CJK>                                            |
| 0x6850  | 0x8BCB    | 0x364D | 桐        | <CJK>                                            |
| 0x7C81  | 0x8BCC    | 0x364E | 粁        | <CJK>                                            |
| 0x50C5  | 0x8BCD    | 0x364F | 僅        | <CJK>                                            |
| 0x52E4  | 0x8BCE    | 0x3650 | 勤        | <CJK>                                            |
